Topic,Stance,Argument
Ayuno intermitente,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that intermittent fasting is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Intermittent fasting can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Pena de muerte,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that capital punishment is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Capital punishment can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ExperimentaciÃ³n con animales,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that animal testing undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that animal testing undermines the value of human life."",
  ""conclusion"": ""Animal testing undermines the value of human life.""
}"
Cambio climÃ¡tico,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that climate change undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that climate change undermines the value of human life."",
  ""conclusion"": ""Climate change undermines the value of human life.""
}"
LegalizaciÃ³n de la cannabis,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for legalisation of cannabis should not be accepted.""
}"
Aborto,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that abortion is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Abortion can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Libertad de expresiÃ³n,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that freedom of speech is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Freedom of speech is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Aumento de impuestos,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that tax increase is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Tax increase can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ClonaciÃ³n animal/humana,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that animal/human cloning is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Animal/human cloning can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
EnergÃ­a nuclear,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that nuclear energy is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Nuclear energy can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Uso de redes sociales en lÃ­nea,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that use of online social networks is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Use of online social networks can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Control de armas,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for gun control should not be accepted.""
}"
PensiÃ³n bÃ¡sica universal,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that universal basic pension undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that universal basic pension undermines the value of human life."",
  ""conclusion"": ""Universal basic pension undermines the value of human life.""
}"
Cuotas de gÃ©nero,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gender quotas is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gender quotas is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
ManipulaciÃ³n genÃ©tica,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that genetic manipulation is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Genetic manipulation can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ReducciÃ³n de la jornada laboral,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that reduction in working time is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Reduction in working time can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Trabajo remoto,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that remote work is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Remote work can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Aumento de la seguridad sacrificando la privacidad individual,a favor,"{
  ""character attack premise"": ""Persons who advocate for increasing security by sacrificing individual privacy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for increasing security by sacrificing individual privacy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Criptomonedas,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for cryptocurrencies should not be accepted.""
}"
Censura en redes sociales,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that censorship in social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Censorship in social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Terraplanismo,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that terraplanism is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Terraplanism can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
EnergÃ­a renovable,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that renewable energy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that renewable energy undermines the value of human life."",
  ""conclusion"": ""Renewable energy undermines the value of human life.""
}"
Transporte elÃ©ctrico,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that electric transport is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Electric transport can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Eutanasia,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for euthanasia should not be accepted.""
}"
VacunaciÃ³n obligatoria en pandemia,a favor,"{
  ""character attack premise"": ""Persons who advocate for mandatory vaccination in pandemic are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for mandatory vaccination in pandemic should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Apariencia fÃ­sica para el Ã©xito personal,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that physical appearance for personal success undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that physical appearance for personal success undermines the value of human life."",
  ""conclusion"": ""Physical appearance for personal success undermines the value of human life.""
}"
Ayuno intermitente,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that intermittent fasting is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Intermittent fasting is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Pena de muerte,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for capital punishment should not be accepted.""
}"
ExperimentaciÃ³n con animales,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that animal testing should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Animal testing should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Cambio climÃ¡tico,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that climate change should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Climate change should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
LegalizaciÃ³n de la cannabis,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Aborto,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for abortion should not be accepted.""
}"
Libertad de expresiÃ³n,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that freedom of speech should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Freedom of speech should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Aumento de impuestos,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that tax increase is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Tax increase can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ClonaciÃ³n animal/humana,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that animal/human cloning is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Animal/human cloning can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
EnergÃ­a nuclear,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that nuclear energy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that nuclear energy undermines the value of human life."",
  ""conclusion"": ""Nuclear energy undermines the value of human life.""
}"
Uso de redes sociales en lÃ­nea,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that use of online social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Use of online social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Control de armas,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gun control is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gun control is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
PensiÃ³n bÃ¡sica universal,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that universal basic pension undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that universal basic pension undermines the value of human life."",
  ""conclusion"": ""Universal basic pension undermines the value of human life.""
}"
Cuotas de gÃ©nero,a favor,"{
  ""character attack premise"": ""Persons who advocate for gender quotas are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for gender quotas should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
ManipulaciÃ³n genÃ©tica,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that genetic manipulation is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Genetic manipulation can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
ReducciÃ³n de la jornada laboral,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that reduction in working time is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Reduction in working time can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Trabajo remoto,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that remote work is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Remote work can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Aumento de la seguridad sacrificando la privacidad individual,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that increasing security by sacrificing individual privacy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Increasing security by sacrificing individual privacy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Criptomonedas,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for cryptocurrencies should not be accepted.""
}"
Censura en redes sociales,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that censorship in social networks should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Censorship in social networks should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Terraplanismo,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that terraplanism is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Terraplanism is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
EnergÃ­a renovable,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for renewable energy should not be accepted.""
}"
Transporte elÃ©ctrico,a favor,"{
  ""character attack premise"": ""Persons who advocate for electric transport are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for electric transport should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Eutanasia,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
VacunaciÃ³n obligatoria en pandemia,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that mandatory vaccination in pandemic is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Mandatory vaccination in pandemic is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Apariencia fÃ­sica para el Ã©xito personal,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for physical appearance for personal success should not be accepted.""
}"
Ayuno intermitente,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that intermittent fasting is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Intermittent fasting can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Pena de muerte,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that capital punishment undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that capital punishment undermines the value of human life."",
  ""conclusion"": ""Capital punishment undermines the value of human life.""
}"
ExperimentaciÃ³n con animales,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that animal testing is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Animal testing is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Cambio climÃ¡tico,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that climate change should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Climate change should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
LegalizaciÃ³n de la cannabis,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Aborto,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Libertad de expresiÃ³n,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that freedom of speech is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Freedom of speech can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Aumento de impuestos,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
ClonaciÃ³n animal/humana,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that animal/human cloning is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Animal/human cloning is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
InvestigaciÃ³n en inteligencia artificial,a favor,"{
  ""character attack premise"": ""Persons who advocate for research in artificial intelligence are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for research in artificial intelligence should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
EnergÃ­a nuclear,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that nuclear energy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Nuclear energy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Uso de redes sociales en lÃ­nea,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that use of online social networks should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Use of online social networks should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Control de armas,a favor,"{
  ""character attack premise"": ""Persons who advocate for gun control are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for gun control should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
PensiÃ³n bÃ¡sica universal,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that universal basic pension undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that universal basic pension undermines the value of human life."",
  ""conclusion"": ""Universal basic pension undermines the value of human life.""
}"
Cuotas de gÃ©nero,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that gender quotas undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that gender quotas undermines the value of human life."",
  ""conclusion"": ""Gender quotas undermines the value of human life.""
}"
ManipulaciÃ³n genÃ©tica,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for genetic manipulation should not be accepted.""
}"
ReducciÃ³n de la jornada laboral,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that reduction in working time undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that reduction in working time undermines the value of human life."",
  ""conclusion"": ""Reduction in working time undermines the value of human life.""
}"
Trabajo remoto,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that remote work is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Remote work can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Aumento de la seguridad sacrificando la privacidad individual,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for increasing security by sacrificing individual privacy should not be accepted.""
}"
Criptomonedas,a favor,"{
  ""character attack premise"": ""Persons who advocate for cryptocurrencies are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for cryptocurrencies should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Censura en redes sociales,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that censorship in social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Censorship in social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Terraplanismo,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that terraplanism undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that terraplanism undermines the value of human life."",
  ""conclusion"": ""Terraplanism undermines the value of human life.""
}"
EnergÃ­a renovable,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that renewable energy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Renewable energy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Transporte elÃ©ctrico,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that electric transport undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that electric transport undermines the value of human life."",
  ""conclusion"": ""Electric transport undermines the value of human life.""
}"
Eutanasia,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that euthanasia undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that euthanasia undermines the value of human life."",
  ""conclusion"": ""Euthanasia undermines the value of human life.""
}"
VacunaciÃ³n obligatoria en pandemia,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that mandatory vaccination in pandemic undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that mandatory vaccination in pandemic undermines the value of human life."",
  ""conclusion"": ""Mandatory vaccination in pandemic undermines the value of human life.""
}"
Apariencia fÃ­sica para el Ã©xito personal,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that physical appearance for personal success is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Physical appearance for personal success can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Ayuno intermitente,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that intermittent fasting undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that intermittent fasting undermines the value of human life."",
  ""conclusion"": ""Intermittent fasting undermines the value of human life.""
}"
